id,name,description,price,imageUrl,status,created,modified,category_id,created_id,modified_id
7,Café Americano,Café negro tradicional preparado con espresso y agua caliente.,8.50,https://www.somoselcafe.com.ar/img/novedades/47.jpg,active,2026-05-30 16:09:40.558663+00,2026-05-30 16:11:53.414344+00,17,,
8,Café Espresso,Café concentrado de sabor intenso y aroma profundo.,7.00,https://imag.bonviveur.com/cafe-expreso-casero.jpg,active,2026-05-30 16:10:52.343156+00,2026-05-30 16:10:52.343173+00,17,,
9,Café Latte,Bebida a base de espresso con leche vaporizada y espuma ligera.,12.00,https://cdn7.kiwilimon.com/recetaimagen/36986/640x640/46349.jpg.jpg,active,2026-05-30 16:11:46.674799+00,2026-05-30 16:11:46.674814+00,17,,
10,Café Moca,"Combinación de espresso, chocolate y leche cremosa.",14.50,"https://images.immediate.co.uk/production/volatile/sites/54/2025/06/050620251749106536.png?quality=90&resize=708,643",active,2026-05-30 16:12:38.02373+00,2026-05-30 16:12:38.023748+00,17,,
11,Cold Brew,Café frío infusionado lentamente durante varias horas para un sabor suave y refrescante.,13.00,https://images.unsplash.com/photo-1461023058943-07fcbe16d735,active,2026-05-30 16:14:51.533354+00,2026-05-30 16:14:51.533367+00,18,,
12,Iced Latte,Espresso servido con leche fría y hielo.,12.50,https://images.unsplash.com/photo-1517701604599-bb29b565090c,active,2026-05-30 16:15:37.731831+00,2026-05-30 16:15:37.731844+00,18,,
14,Café Helado Vainilla,Café frío mezclado con leche y un toque de vainilla.,14.00,https://www.recetaslider.cl/wp-content/uploads/2021/06/principal_5feb289d9adf7.jpg,active,2026-05-30 16:17:06.505373+00,2026-05-30 16:17:06.505392+00,18,,
15,Café Helado Caramelo,Café frío acompañado de salsa de caramelo y hielo.,14.50,https://www.nescafe.com/mx/sites/default/files/2024-09/NES_SBU_Recipes%202024_Website_Caramel%20Ice%20Coffee_Hero%20Banner_1066x1066.jpg,active,2026-05-30 16:18:24.093563+00,2026-05-30 16:18:24.093581+00,18,,
16,Frappé Mocha,Bebida helada de café mezclada con chocolate y crema batida.,16.00,https://www.nescafe.com/pe/sites/default/files/2023-06/Nes_Web3_RDP_RecipeHeroBanner_MochaFrappe_1066x1066.jpg,active,2026-05-30 16:20:40.114254+00,2026-05-30 16:20:40.114265+00,19,,
17,Frappé Caramelo,Café frappé con salsa de caramelo y topping de crema.,17.00,https://blog.pizcadesabor.com/wp-content/uploads/2016/05/Frappe-de-caramelo-2.jpg,active,2026-05-30 16:21:52.501263+00,2026-05-30 16:21:52.501279+00,19,,
18,Frappé Cookies & Cream,Mezcla cremosa de galletas trituradas y café helado.,18.00,https://i.pinimg.com/736x/a2/5e/65/a25e6548c6f57b3e04d553805cd2fe37.jpg,active,2026-05-30 16:22:26.607838+00,2026-05-30 16:22:26.607852+00,19,,
19,Frappé Vainilla,"Bebida refrescante con café, vainilla y leche helada.",15.50,https://www.recetasnestle.com.mx/sites/default/files/srh_recipes/1bbcd285c069c3601be950805e5288fb.png,active,2026-05-30 16:22:54.156817+00,2026-05-30 16:23:39.339793+00,19,,
20,Té Verde,Infusión natural rica en antioxidantes con sabor suave y refrescante.,7.50,https://www.bupasalud.com.pe/sites/default/files/styles/640_x_400/public/articulos/2024-04/fotos/beneficios-te-verde-1.jpeg?itok=nbCJBFBA,active,2026-05-30 16:27:17.127641+00,2026-05-30 16:27:17.127654+00,20,,
21,Té De Manzanilla,Infusión relajante elaborada con flores de manzanilla seleccionadas.,6.50,https://media.glamour.mx/photos/650a5bd64bf0764b98ef61e7/master/pass/tomar-te-de-manzanilla.jpg,active,2026-05-30 16:27:50.041424+00,2026-05-30 16:27:50.041435+00,20,,
22,Té De Frutos Rojos,Mezcla aromática de frutos rojos con un toque dulce y afrutado.,8.00,https://terxy.com/blog/wp-content/uploads/2022/05/te-frutos-rojos-scaled.jpg,active,2026-05-30 16:28:15.798887+00,2026-05-30 16:28:15.798898+00,20,,
23,Infusión De Hierbaluisa,Bebida herbal aromática con notas cítricas y efecto relajante.,6.50,https://comerbeber.com/archivos/imagen/2023/06/aloysia_citridora.jpg,active,2026-05-30 16:29:01.612109+00,2026-05-30 16:29:01.612125+00,20,,
24,Cheesecake Clásico,Suave tarta de queso con base crocante de galleta y un delicado toque de vainilla.,10.00,https://www.splenda.com/wp-content/uploads/2022/05/american-classic-cheesecake-2000w.jpg,active,2026-05-30 16:35:08.572264+00,2026-05-30 16:35:08.572279+00,21,,
25,Brownie De Chocolate,Brownie artesanal de chocolate con textura húmeda y sabor intenso.,8.50,https://images.aws.nestle.recipes/original/2024_10_28T12_26_14_badun_images.badun.es_42c16b87405b_brownie_de_chocolate_con_leche.jpg,active,2026-05-30 16:35:57.882423+00,2026-05-30 16:35:57.882436+00,21,,
26,Torta De Zanahoria,Bizcocho esponjoso de zanahoria con cobertura de queso crema.,9.50,https://i.ytimg.com/vi/22B2Cggy9qk/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBAzGAtpgJsV0Se7T5dRKA3AgBqGA,active,2026-05-30 16:36:48.458827+00,2026-05-30 16:36:48.458845+00,21,,
27,Tiramisú,"Tradicional postre italiano elaborado con café, crema y cacao.",11.50,https://cdn.blog.paulinacocina.net/wp-content/uploads/2020/01/receta-de-tiramisu-facil-y-economico-1740483918.jpg,active,2026-05-30 16:37:29.905294+00,2026-05-30 16:37:29.905307+00,21,,
